,user,tweet,source
105,lilyciric,"RT @mytoastlife: Cook your way to better #mentalhealth? ♥️🧑‍🍳It’s a thing! 

@LilyCiric Hoffman founded Dishmeetup, an online community of…",Twitter for Android
106,lilyciric,Created a private introverts slack channel at work in order to find other introverts but it's only me in it 😂 As if… https://t.co/YGhfsJelaL,Twitter Web App
107,lilyciric,🤣🎯 https://t.co/Ngnj8TuLbt,Twitter Web App
108,lilyciric,"RT @contentful: ☁️☁️☁️☁️☁️☁️☁️☁️☁️☁️
☁️☁️☁️☁️☁️☁️☁️☁️☁️☁️
☁️☁️☁️☁️☁️☁️☁️☁️☁️☁️
☁️☁️☁️☁️☁️☁️☁️⛅☁️☁️
☁️☁️☁️☁️☁️☁️☁️☁️☁️☁️
☁️☁️☁️☁️☁️☁️☁️☁️☁️…",Twitter for Android
109,lilyciric,RT @elreiss: The kind of multiple regression analysis only an information architect could love :) https://t.co/KMPVJoA3mU,Twitter for Android
110,lilyciric,Two more courses launched in the new developer learning path that we tirelessly worked on the past few months 🎉 The… https://t.co/3TJLoyyTa1,Twitter Web App
111,lilyciric,Worked tirelessly creating these two courses to help new-to-Contentful developers jumpstart their 1st project 💪🤓 Pl… https://t.co/EDI7wR43ik,Twitter Web App
112,lilyciric,Wondering what I've been up to the past few months! Working hard on our new free developer courses to help anyone l… https://t.co/hTmx9HYApv,LinkedIn
113,lilyciric,"Check out my article on culinary therapy on ""Introvert, Dear"" and the reason why I started Dishmeetup,… https://t.co/35x1TWj2E0",LinkedIn
114,lilyciric,"🎯  🙌🏼  ""When learning is short, simple, concise and personal, retention improves. And what you retain can be used o… https://t.co/N60aSkDL0w",LinkedIn
115,lilyciric,💪🏼🙌🏼🏆🥇❤🇷🇸 https://t.co/8hKyljz5Nr,Twitter Web App
116,lilyciric,"So beyond happy and proud! All around an amazing human being, bravo Nole ❤🥳🏆 https://t.co/qSadB7p6JL",Twitter for Android
117,lilyciric,"Turns out TikTok recipes are fun, practical and delicious 🤤🙌🏼

Here's what some of us on Dishmeetup have tested so… https://t.co/azJ8KtVfkP",LinkedIn
118,lilyciric,"Super excited for our next Dishmeetup community cooking event! We're ""off"" to Austria and learning how to make the… https://t.co/6je3myKNYi",Buffer
119,lilyciric,"Cooking, creating something with your hands, knowing where ingredients come from, what did they go through, learnin… https://t.co/ZGoMxE36sm",LinkedIn
120,lilyciric,"Good food, good mood 🙌 So glad to see more scientific research done about the relationship between food and mental… https://t.co/7xeir3qP7n",Buffer
121,lilyciric,"Up your salad game in May! 🥗 What's your THE most favorite salad in the whole wide world? Join us,… https://t.co/rnZQKyVg61",Buffer
122,sandraaycock606,@surrealvehicle 39,Twitter Web App
123,sandraaycock606,To The Women in My Life https://t.co/SuCP7zUeXt,Twitter Web App
124,sandraaycock606,RT @RustyDogz: Fried Pork Belly 🧀 Mac &amp; Cheese https://t.co/pflR1sHLI7,Twitter Web App
125,sandraaycock606,@eatinerni 3,Twitter Web App
126,sandraaycock606,@DiningNearMe No doubt about it  🍄 💯 https://t.co/5M7vNfQ8w5,Twitter for Android
127,sandraaycock606,"RT @NBATV: A Thursday night showdown in Atlanta 🔥

@sixers vs @ATLHawks 7:30 PM ET TONIGHT on NBA TV 🏀🍿 https://t.co/Fk9T1RXcXC",Twitter for Android
128,sandraaycock606,https://t.co/mZa0LpRPec https://t.co/ArQzO2C9XY,Twitter for Android
