,text
180,RT @STOPitSolutions: Handle With Care: Helping Students Experiencing Trauma and Violence. What can schools do? #traumainformedlearning #edu…
181,RT @timpsnider: Mind Reading: @Halestorm’s  @LZZYHALE is Hell-Bent on Busting the #MentalHealth Stigma in Hard Rock 💪 https://t.co/GgRTLUOr…
182,"RT @purehappymess: #MentalHealth #News #CheckInn #Share #Listen #ASMR #PurplePeople

https://t.co/p7Rgc7zi0l"
183,"Our trainers are all educated to a degree level and come from a mixture of backgrounds including, but not limited t… https://t.co/mExk6RxqOn"
184,"RT @PhoebsBo: UK friends, I have a favour to ask. There’s an availability problem with one of my meds and I’m hoping someone might be able…"
185,"RT @TheeDoctorB: ONE WEEK LEFT!
Chapter abstract proposals are open until Dec. 19th for Psychgeist of Pop Culture: Discworld from @etcpress…"
186,RT @PhoenixFutures1: Our print-at-home anti-stigma card game is now available to download on our website. It's a fun tool to educate and en…
187,"Problem: people in regional Australia have difficulty accessing #Mentalhealth services, with long waiting lists to… https://t.co/p0d0xL4Y8T"
188,The thing that sucks about asking your family for #mentalhealth help. Is them telling you to figure it out yourself. I'm tired of this life
189,RT @___MHAT: Good morning! Happy Monday! How are you feeling today? Remember to set your intentions today. 💚#mentalhealth #MentalHealthMatt…
190,"HOLLOW HEADS                           
(This one means a lot to me)                     
@procreate #mentalhealth… https://t.co/MkfoqBvkh2"
191,"DLG in partnership with @crisiscentrebc
 is proud to offer you the Lunch &amp; Learn #Webinar Session by Wellness Speci… https://t.co/JVE4JH7Mul"
192,@Damonoxide The hateful retaliation video comments reflect violence in Americans' DNA; not evolving beyond revenge/… https://t.co/rdbYPAcywm
193,Practising gratitude on a regular basis can improve our #mentalhealth and boost our relationships with others. Over… https://t.co/4Jeubn51PZ
194,"RT @purehappymess: #MentalHealth #PurplePeople #CheckInn #News

https://t.co/yPwe0D9Wcg"
195,"A little icy out there! Glad I have poles, only fully slipped over a couple of times - ideal photo opp of course 🤣🤣… https://t.co/oCg8bLsKiF"
196,"RT @reefomadness: Pawpaw adventure kitty out in the snow, not our first snow of the year since back in May we got caught in a snow storm dr…"
197,"Year in Review

In this podcast, we talk to @AjaLMurray, @acamh's Kathy Sylva ‘Rising Star’ Winner 2021, about her… https://t.co/kvh5ZAJKTh"
198,"RT @NYCHealthSystem: For some, the holidays can be a sad time of year. Make sure you're taking care of your #MentalHealth this holiday seas…"
199,"Going live with Marla and Dave this evening at 6 pm pst. 

Visit their website: https://t.co/P8Qf0zWPKW

#podcast… https://t.co/AKGXgCMt5R"
200,"RT @reefomadness: #CarpenterFalls #FingerLakes #Skaneateles

 Trip to New York for a few weeks with friends. 

#Hobomillionaire #PurplePeop…"
201,"RT @LEAD_Coalition: '#Dementia Has Turned My Family's World Upside Down, And I Don't Know How Much More I Can Take' https://t.co/HDPdbMpFMw…"
202,"RT @NYCHealthSystem: For some, the holidays can be a sad time of year. Make sure you're taking care of your #MentalHealth this holiday seas…"
203,RT @samhsagov: The days may be shorter and colder—but It's okay not to be okay. Help is always available if you or someone you know is stru…
204,"RT @WHO_Europe: Strengthening #primaryhealthcare is the most inclusive, effective and efficient approach to improve people’s 

👉 physical h…"
205,"Kick your best friends in the head, or whatever Mr. Rodgers said.....#xEdgeOfHopex  #cerin  #mentalhealth… https://t.co/b3rmFZOoyZ"
206,RT @sanityincollege: Here are some useful tips to help you get through your day with the muggy weather we are dealing with in Ithaca. These…
207,RT @sanityincollege: Here is a list of tips to keep in mind when you are studying throughout the semester. Including some of these things c…
208,"RT @em_doapsi: I can’t be pushed before I’m ready, but on a positive note I now know my finger isn’t broken! Click here to view. https://t.…"
209,"RT @sanityincollege: During final exam season, this is the time of year where it may be the hardest to keep our sanity at a peaceful level.…"
210,"I miss you Mum🥺😭
Time doesn’t get any easier.
My heart forever shattered!
My love for you Mum remains forever!
Plea… https://t.co/cp1erAfD70"
211,"RT @TheeDoctorB: ONE WEEK LEFT!
Chapter abstract proposals are open until Dec. 19th for Psychgeist of Pop Culture: Discworld from @etcpress…"
